
央视频道
CCTV13,rtp://239.10.0.198:1025,tvming-CCTV1HD
CCTV1,rtp://239.10.0.114:1025
CCTV2,rtp://239.10.0.207:1025
CCTV3,rtp://239.10.0.101:1025
CCTV4,rtp://239.10.0.245:1025
CCTV5,rtp://239.10.0.102:1025
CCTV5+,rtp://239.10.0.213:1025
CCTV16,rtp://239.11.0.126:1025
CCTV6,rtp://239.10.0.103:1025
CCTV7,rtp://239.10.0.208:1025
CCTV8,rtp://239.10.0.104:1025,cntv-CCTV8HD
CCTV9,rtp://239.10.0.209:1025,tvming-CCTV9HD
CCTV10,rtp://239.10.0.210:1025
CCTV11,rtp://239.11.0.24:1025
CCTV12,rtp://239.10.0.211:1025
CCTV14,rtp://239.10.0.212:1025
CCTV15,rtp://239.11.0.25:1025
CCTV17,rtp://239.10.0.244:1025
CGTN,rtp://239.11.0.103:1025

卫视频道
湖南卫视,rtp://239.10.0.115:1025
浙江卫视,rtp://239.10.0.179:1025
江苏卫视,rtp://239.10.0.180:1025
北京卫视,rtp://239.10.0.131:1025
东方卫视,rtp://239.10.0.183:1025
深圳卫视,rtp://239.10.0.132:1025
广东卫视,rtp://239.10.0.111:1025
经济科教,rtp://239.10.0.112:1025
广东体育,rtp://239.10.0.113:1025
珠江频道,rtp://239.10.0.62:1025
南方卫视,rtp://239.11.0.78:1025
上海纪实,rtp://239.10.0.78:1025
金鹰纪实,rtp://239.10.0.206:1025
IPTV5+,rtp://239.10.0.218:1025
湖北卫视,rtp://239.10.0.134:1025
天津卫视,rtp://239.10.0.181:1025
山东卫视,rtp://239.10.0.182:1025
黑龙江卫视,rtp://239.10.0.133:1025
辽宁卫视,rtp://239.10.0.185:1025
四川卫视,rtp://239.10.0.204:1025
重庆卫视,rtp://239.10.0.205:1025
安徽卫视,rtp://239.10.0.203:1025
贵州卫视,rtp://239.10.0.222:1025
东南卫视,rtp://239.10.0.77:1025
河北卫视,rtp://239.10.0.79:1025
广西卫视,rtp://239.10.0.246:1025

佛山频道
佛山公共高清,rtp://239.11.0.114:1025
南海频道高清,rtp://239.11.0.115:1025
顺德频道高清,rtp://239.11.0.116:1025
佛山影视高清,rtp://239.11.0.117:1025
佛山综合高清,rtp://239.11.0.118:1025

网络频道
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.flv

